commanded position, signed delta, theoretical position, actual position, error
6.54073, -8.94, 6.54,6.3876,-0.15313
-4.33599, -10.88, -4.34,-4.1876,-0.14839
-7.28188, 2.94, -7.28,-7.28,-0.00188
9.33473, -16.61, 9.33,9.1776,-0.15713
-6.21138, -15.54, -6.21,-6.0576,-0.15378
-0.49612, -5.71, -0.5,-0.6524,0.15628
-1.74477, -1.24, -1.74,-1.5876,-0.15717
1.50156, -3.24, 1.5,1.3476,-0.15396
4.50851, 3.01, 4.51,4.51,0.00149
-8.71458, -13.22, -8.71,-8.5576,-0.15698
4.57584, -13.29, 4.58,4.4276,-0.14824
-4.00646, -8.59, -4.01,-3.8576,-0.14886
-6.70195, 2.69, -6.7,-6.7,-0.00195
-6.95139, 0.25, -6.95,-6.95,-0.00139
-2.12878, -4.82, -2.13,-2.2824,0.15362
-4.62013, -2.49, -4.62,-4.4676,-0.15253
0.88883, -5.51, 0.89,0.7376,-0.15123
-5.06233, -5.95, -5.06,-4.9076,-0.15473
-5.04516, -0.01, -5.05,-5.2024,0.15724
7.58551, 12.64, 7.59,7.59,0.00449
3.1851, -4.4, 3.19,3.3424,0.1573
7.46396, -4.27, 7.46,7.3076,-0.15636
9.95814, 2.5, 9.96,9.96,0.00186
-2.86618, -12.83, -2.87,-2.7176,-0.14858
-5.60529, 2.74, -5.61,-5.61,0.00471
5.39113, -11, 5.39,5.2376,-0.15353
7.76207, 2.37, 7.76,7.76,-0.00207
8.25368, 0.49, 8.25,8.25,-0.00368
3.02731, -5.22, 3.03,3.1824,0.15509
7.8195, -4.79, 7.82,7.6676,-0.1519
-2.63397, -10.45, -2.63,-2.4776,-0.15637
5.38505, -8.02, 5.39,5.2376,-0.14745
-8.07062, -13.46, -8.07,-7.9176,-0.15302
0.13455, -8.2, 0.13,-0.0224,-0.11215
-9.12915, -9.26, -9.13,-8.9776,-0.15155
4.23562, -13.37, 4.24,4.0876,-0.14802
3.07747, -1.16, 3.08,3.2324,0.15493
-8.9842, 12.06, -8.98,-8.98,-0.0042
-9.03678, 0.06, -9.04,-9.04,0.00322
4.99349, -14.03, 4.99,4.8376,-0.15589
-2.91854, -7.91, -2.92,-2.7676,-0.15094
-4.07955, 1.16, -4.08,-4.08,0.00045
-6.30181, 2.22, -6.3,-6.3,-0.00181
8.75923, -15.06, 8.76,8.6076,-0.15163
-8.56293, -17.32, -8.56,-8.4076,-0.15533
9.66948, -18.23, 9.67,9.5176,-0.15188
5.51417, -4.16, 5.51,5.6624,0.14823
6.54144, -1.03, 6.54,6.3876,-0.15384
5.0073, -1.53, 5.01,5.1624,0.1551
-2.56712, 7.58, -2.57,-2.57,0.00288
-6.89959, 4.33, -6.9,-6.9,0.00041
-3.98759, -2.91, -3.99,-4.1424,0.15481
-2.40012, 1.59, -2.4,-2.4,-0.00012
-6.10694, -3.71, -6.11,-5.9576,-0.14934
3.47298, -9.58, 3.47,3.3176,-0.15538
6.80968, 3.34, 6.81,6.81,0.00032
-8.35815, -15.17, -8.36,-8.2076,-0.15055
3.24903, -11.61, 3.25,3.0976,-0.15143
1.82084, -1.43, 1.82,1.9724,0.15156
-0.58091, 2.4, -0.58,-0.58,-0.00091
7.71741, -8.3, 7.72,7.5676,-0.14981
-5.92806, -13.65, -5.93,-5.7776,-0.15046
6.23689, -12.17, 6.24,6.0876,-0.14929
-2.55293, -8.79, -2.55,-2.3976,-0.15533
1.15859, -3.71, 1.16,1.0076,-0.15099
-1.88517, -3.05, -1.89,-1.7376,-0.14757
1.5498, -3.44, 1.55,1.3976,-0.1522
4.53767, 2.99, 4.54,4.54,0.00233
-6.57939, -11.12, -6.58,-6.4276,-0.15179
-9.83575, 3.26, -9.84,-9.84,0.00425
-7.36657, -2.47, -7.37,-7.5224,0.15583
4.89102, 12.26, 4.89,4.89,-0.00102
4.04119, -0.85, 4.04,4.1924,0.15121
8.39702, -4.36, 8.4,8.2476,-0.14942
-0.434, -8.83, -0.43,-0.2776,-0.1564
9.24147, -9.67, 9.24,9.0876,-0.15387
-5.00747, -14.25, -5.01,-4.8576,-0.14987
6.21242, -11.22, 6.21,6.0576,-0.15482
-4.19686, -10.41, -4.2,-4.0476,-0.14926
1.19279, -5.39, 1.19,1.0376,-0.15519
-4.92364, -6.11, -4.92,-4.7676,-0.15604
3.20814, -8.13, 3.21,3.0576,-0.15054
-5.05144, -8.26, -5.05,-4.8976,-0.15384
3.17242, -8.22, 3.17,3.0176,-0.15482
-9.45, -12.62, -9.45,-9.2976,-0.1524
8.15573, -17.61, 8.16,8.0076,-0.14813
-7.86612, -16.03, -7.87,-7.7176,-0.14852
9.55248, -17.42, 9.55,9.3976,-0.15488
1.11023, -8.44, 1.11,1.2624,0.15217
4.94162, -3.83, 4.94,4.7876,-0.15402
6.20661, 1.27, 6.21,6.21,0.00339
2.40483, -3.81, 2.4,2.5524,0.14757
9.9166, -7.52, 9.92,9.7676,-0.149
-2.0455, -11.97, -2.05,-1.8976,-0.1479
-6.79003, 4.74, -6.79,-6.79,-3E-05
-8.96773, 2.18, -8.97,-8.97,0.00227
-3.9836, -4.99, -3.98,-4.1324,0.1488
1.80929, 5.79, 1.81,1.81,0.00071
8.38938, 6.58, 8.39,8.39,0.00062
-2.6278, -11.02, -2.63,-2.4776,-0.1502
-4.1555, 1.53, -4.16,-4.16,0.0045
0.47818, -4.64, 0.48,0.3276,-0.15058
-5.24512, -5.73, -5.25,-5.0976,-0.14752
5.94838, -11.2, 5.95,5.7976,-0.15078
-1.41292, -7.36, -1.41,-1.2576,-0.15532
-3.92356, 2.51, -3.92,-3.92,-0.00356
-6.43848, 2.52, -6.44,-6.44,0.00152
-1.79917, -4.64, -1.8,-1.9524,0.15323
6.20626, 8.01, 6.21,6.21,0.00374
1.09263, -5.12, 1.09,1.2424,0.14977
-6.24421, 7.33, -6.24,-6.24,-0.00421
1.85085, -8.09, 1.85,1.6976,-0.15325
-5.04992, -6.9, -5.05,-4.8976,-0.15232
-5.38153, 0.33, -5.38,-5.38,-0.00153
8.48286, -13.86, 8.48,8.3276,-0.15526
-8.40483, -16.88, -8.4,-8.2476,-0.15723
-7.48193, -0.92, -7.48,-7.6324,0.15047
-9.02855, -1.55, -9.03,-8.8776,-0.15095
2.46114, -11.49, 2.46,2.3076,-0.15354
6.28071, 3.82, 6.28,6.28,-0.00071
2.87625, -3.4, 2.88,3.0324,0.15615
2.42013, 0.46, 2.42,2.42,-0.00013
0.83862, 1.58, 0.84,0.84,0.00138
-6.90379, 7.74, -6.9,-6.9,-0.00379
7.04393, -13.94, 7.04,6.8876,-0.15633
4.44574, -2.59, 4.45,4.6024,0.15666
2.38164, 2.07, 2.38,2.38,-0.00164
-6.21957, 8.6, -6.22,-6.22,0.00043
9.13401, -15.35, 9.13,8.9776,-0.15641
-4.21505, -13.35, -4.22,-4.0676,-0.14745
6.82431, -11.04, 6.82,6.6676,-0.15671
3.48156, -3.34, 3.48,3.6324,0.15084
8.86063, -5.38, 8.86,8.7076,-0.15303
0.69191, -8.17, 0.69,0.8424,0.15049
-7.927, 8.62, -7.93,-7.93,0.003
3.35025, -11.28, 3.35,3.1976,-0.15265
5.08618, 1.74, 5.09,5.09,0.00382
5.63955, 0.55, 5.64,5.64,0.00045
4.23784, -1.4, 4.24,4.3924,0.15456
-4.45066, 8.69, -4.45,-4.45,-0.00066
4.78719, -9.24, 4.79,4.6376,-0.14959
-5.42509, -10.22, -5.43,-5.2776,-0.14749
-4.63066, -0.8, -4.63,-4.7824,0.15174
4.03267, 8.66, 4.03,4.03,-0.00267
6.12564, 2.1, 6.13,6.13,0.00436
8.32347, 2.19, 8.32,8.32,-0.00347
-5.62356, -13.94, -5.62,-5.4676,-0.15596
-0.56224, -5.06, -0.56,-0.7124,0.15016
-2.64089, -2.08, -2.64,-2.4876,-0.15329
7.6888, -10.33, 7.69,7.5376,-0.1512
7.64738, -0.04, 7.65,7.8024,0.15502
-0.59504, 8.25, -0.6,-0.6,0.00496
9.88882, -10.49, 9.89,9.7376,-0.15122
-9.3914, -19.28, -9.39,-9.2376,-0.1538
5.49137, -14.88, 5.49,5.3376,-0.15377
2.82706, -2.66, 2.83,2.9824,0.15534
6.22477, -3.39, 6.22,6.0676,-0.15717
-6.13274, -12.35, -6.13,-5.9776,-0.15514
-2.85772, -3.27, -2.86,-3.0124,0.15468
7.65066, 10.51, 7.65,7.65,-0.00066
5.23625, -2.41, 5.24,5.3924,0.15615
1.05709, 4.18, 1.06,1.06,0.00291
7.47526, -6.42, 7.48,7.3276,-0.14766
-2.48019, -9.96, -2.48,-2.3276,-0.15259
1.24651, -3.73, 1.25,1.0976,-0.14891
-4.22113, -5.47, -4.22,-4.0676,-0.15353
9.8985, -14.12, 9.9,9.7476,-0.1509
9.92319, 0.02, 9.92,9.92,-0.00319
-0.13859, -10.06, -0.14,0.0124,-0.12619
4.20735, -4.35, 4.21,4.0576,-0.14975
6.31828, 2.11, 6.32,6.32,0.00172
-8.80729, -15.13, -8.81,-8.6576,-0.14969
-6.22882, -2.58, -6.23,-6.3824,0.15358
-5.26043, 0.97, -5.26,-5.26,-0.00043
-3.31067, 1.95, -3.31,-3.31,-0.00067
-1.20481, 2.11, -1.2,-1.2,-0.00481
-0.29565, 0.9, -0.3,-0.3,0.00435
-9.58294, -9.28, -9.58,-9.4276,-0.15534
2.39426, -11.97, 2.39,2.2376,-0.15666
8.52756, 6.14, 8.53,8.53,0.00244
2.10623, -6.42, 2.11,2.2624,0.15617
8.37775, -6.27, 8.38,8.2276,-0.15015
0.78503, -7.59, 0.79,0.9424,0.15737
1.67937, -0.89, 1.68,1.5276,-0.15177
-1.92737, -3.61, -1.93,-1.7776,-0.14977
0.22393, -2.15, 0.22,0.0676,-0.15633
-2.88723, -3.11, -2.89,-2.7376,-0.14963
4.18696, -7.08, 4.19,4.0376,-0.14936
-7.81983, -12.01, -7.82,-7.6676,-0.15223
8.04345, -15.86, 8.04,7.8876,-0.15585
5.73096, -2.31, 5.73,5.8824,0.15144
-5.25104, 10.98, -5.25,-5.25,-0.00104
3.82304, -9.07, 3.82,3.6676,-0.15544
2.73852, -1.08, 2.74,2.8924,0.15388
-7.87155, 10.61, -7.87,-7.87,-0.00155
3.93554, -11.81, 3.94,3.7876,-0.14794
-5.33541, -9.28, -5.34,-5.1876,-0.14781
3.76707, -9.11, 3.77,3.6176,-0.14947
-4.52341, -8.29, -4.52,-4.3676,-0.15581
-2.01541, -2.5, -2.02,-2.1724,0.15699
